pair_id,sentence,label,corruption_type,phenomenon,source
tone_0024,"Láti báa yín sọ̀rọ̀ tààrà, áwọn òòṣa ti Silicon Valley.",incorrect,single_flip,tone,menyo20k
tone_0024,"Láti baa yín sọ̀rọ̀ tààrà, àwọn òòṣa ti Silicon Valley.",incorrect,single_delete,tone,menyo20k
tone_0025,"Ibi Tá A Ti Ṣeé: Marlins Park ní Miami, Florida, Lórílẹ̀-èdè Amẹ́ríkà",correct,none,tone,menyo20k
tone_0025,"Ibi Ta A Ti Ṣee: Marlins Park ni Miami, Florida, Lorilẹ-ede Amẹrika",incorrect,strip_all,tone,menyo20k
tone_0025,"Ibi Tá A Ti Ṣeé: Marlins Park ní Miami, Florida, Lórílẹ̀-édè Amẹ́ríkà",incorrect,single_flip,tone,menyo20k
tone_0025,"Ibi Tá A Ti Ṣee: Marlins Park ní Miami, Florida, Lórílẹ̀-èdè Amẹ́ríkà",incorrect,single_delete,tone,menyo20k
tone_0026,"Ọkọ̀ ń jò, ọkọ̀ ń jò! Ìgbà tó bá rì, kò parí ná?",correct,none,tone,menyo20k
tone_0026,"Ọkọ n jo, ọkọ n jo! Igba to ba ri, ko pari na?",incorrect,strip_all,tone,menyo20k
tone_0026,"Ọkọ̀ ń jò, ọkọ̀ ń jò! Ìgbà tò bá rì, kò parí ná?",incorrect,single_flip,tone,menyo20k
tone_0026,"Ọkọ̀ ń jò, ọkọ̀ n jò! Ìgbà tó bá rì, kò parí ná?",incorrect,single_delete,tone,menyo20k
tone_0027,"Rárá, ẹ tẹ́tí sí èyí.",correct,none,tone,menyo20k
tone_0027,"Rara, ẹ tẹti si eyi.",incorrect,strip_all,tone,menyo20k
tone_0027,"Rárá, ẹ tẹ́tí sí èyì.",incorrect,single_flip,tone,menyo20k
tone_0027,"Rárá, ẹ tẹ́tí sí eyí.",incorrect,single_delete,tone,menyo20k
tone_0028,A kì í peni lákọ ẹran ká ṣorí bòró.,correct,none,tone,menyo20k
tone_0028,A ki i peni lakọ ẹran ka ṣori boro.,incorrect,strip_all,tone,menyo20k
tone_0028,A kì í peni lákọ ẹran ká ṣorì bòró.,incorrect,single_flip,tone,menyo20k
tone_0028,A kì í peni lákọ ẹran ká ṣorí bòro.,incorrect,single_delete,tone,menyo20k
tone_0029,Ọ̀kánjúwà ò ṣéé fi wá nǹkan.,correct,none,tone,menyo20k
tone_0029,Ọkanjuwa o ṣee fi wa nnkan.,incorrect,strip_all,tone,menyo20k
tone_0029,Ọ̀kánjúwà ò ṣèé fi wá nǹkan.,incorrect,single_flip,tone,menyo20k
tone_0029,Ọ̀kánjúwa ò ṣéé fi wá nǹkan.,incorrect,single_delete,tone,menyo20k
tone_0030,"Ọmọdé ni ẹ́, àmọ́ ọ̀rọ̀ tó o sọ yìí mọ́gbọ́n dání gan-an.”",correct,none,tone,menyo20k
tone_0030,"Ọmọde ni ẹ, amọ ọrọ to o sọ yii mọgbọn dani gan-an.”",incorrect,strip_all,tone,menyo20k
tone_0030,"Ọmọdé ni ẹ́, àmọ́ ọ̀rọ̀ tó o sọ yìí mọ́gbọ́n dàní gan-an.”",incorrect,single_flip,tone,menyo20k
tone_0030,"Ọmọdé ni ẹ, àmọ́ ọ̀rọ̀ tó o sọ yìí mọ́gbọ́n dání gan-an.”",incorrect,single_delete,tone,menyo20k
tone_0031,Wọ́n Dájọ́ Ẹ̀wọ̀n Ọdún Mẹ́fà Àtààbọ̀ fún Arákùnrin Gennady Shpakovskiy Lórílẹ̀-Èdè Rọ́ṣíà,correct,none,tone,menyo20k
tone_0031,Wọn Dajọ Ẹwọn Ọdun Mẹfa Ataabọ fun Arakunrin Gennady Shpakovskiy Lorilẹ-Ede Rọṣia,incorrect,strip_all,tone,menyo20k
tone_0031,Wọ́n Dàjọ́ Ẹ̀wọ̀n Ọdún Mẹ́fà Àtààbọ̀ fún Arákùnrin Gennady Shpakovskiy Lórílẹ̀-Èdè Rọ́ṣíà,incorrect,single_flip,tone,menyo20k
tone_0031,Wọ́n Dájọ́ Ẹ̀wọ̀n Ọdún Mẹ́fà Àtààbọ̀ fún Arákùnrin Gennady Shpakovskiy Lórílẹ̀-Èdè Rọ́ṣià,incorrect,single_delete,tone,menyo20k
tone_0032,Àgbà ṣoore má wo bẹ̀.,correct,none,tone,menyo20k
tone_0032,Agba ṣoore ma wo bẹ.,incorrect,strip_all,tone,menyo20k
tone_0032,Àgbá ṣoore má wo bẹ̀.,incorrect,single_flip,tone,menyo20k
tone_0032,Àgbà ṣoore ma wo bẹ̀.,incorrect,single_delete,tone,menyo20k
tone_0033,Dákẹ́ rọ́rọ́ àti tí-ń-ṣekú-pani tí a kò lè rí sójú.,correct,none,tone,menyo20k
tone_0033,Dakẹ rọrọ ati ti-n-ṣeku-pani ti a ko le ri soju.,incorrect,strip_all,tone,menyo20k
tone_0033,Dákẹ̀ rọ́rọ́ àti tí-ń-ṣekú-pani tí a kò lè rí sójú.,incorrect,single_flip,tone,menyo20k
tone_0033,Dákẹ́ rọ́rọ́ àti tí-ń-ṣekú-pani tí a kò lè rí sóju.,incorrect,single_delete,tone,menyo20k
tone_0034,Kòì tíì sí ojúlé kankan,correct,none,tone,menyo20k
tone_0034,Koi tii si ojule kankan,incorrect,strip_all,tone,menyo20k
tone_0034,Kòí tíì sí ojúlé kankan,incorrect,single_flip,tone,menyo20k
tone_0034,Kòì tíì sí ojúle kankan,incorrect,single_delete,tone,menyo20k
tone_0035,AG: A nílò láti so gbogbo ìgbìyànjú papọ̀.,correct,none,tone,menyo20k
tone_0035,AG: A nilo lati so gbogbo igbiyanju papọ.,incorrect,strip_all,tone,menyo20k
tone_0035,AG: A níló láti so gbogbo ìgbìyànjú papọ̀.,incorrect,single_flip,tone,menyo20k
tone_0035,AG: A nílò láti so gbogbo ìgbìyànju papọ̀.,incorrect,single_delete,tone,menyo20k
tone_0036,Ṣé mo lè ya àwòrán yín,correct,none,tone,menyo20k
tone_0036,Ṣe mo le ya aworan yin,incorrect,strip_all,tone,menyo20k
tone_0036,Ṣé mo lè ya áwòrán yín,incorrect,single_flip,tone,menyo20k
tone_0036,Ṣé mo lè ya àworán yín,incorrect,single_delete,tone,menyo20k
tone_0037,Ẹni tí ó fò sókèé bẹ́ ijó lórí.,correct,none,tone,menyo20k
tone_0037,Ẹni ti o fo sokee bẹ ijo lori.,incorrect,strip_all,tone,menyo20k
tone_0037,Ẹni tí ó fò sókèè bẹ́ ijó lórí.,incorrect,single_flip,tone,menyo20k
tone_0037,Ẹni tí ó fo sókèé bẹ́ ijó lórí.,incorrect,single_delete,tone,menyo20k
tone_0038,"Ìpinnu yẹn, yóò gba ìdájọ́ ọmọ ènìyàn, ó dẹ̀ wọ́n.",correct,none,tone,menyo20k
tone_0038,"Ipinnu yẹn, yoo gba idajọ ọmọ eniyan, o dẹ wọn.",incorrect,strip_all,tone,menyo20k
tone_0038,"Ìpinnu yẹn, yóò gba ìdájọ̀ ọmọ ènìyàn, ó dẹ̀ wọ́n.",incorrect,single_flip,tone,menyo20k
tone_0038,"Ìpinnu yẹn, yóò gba ìdájọ ọmọ ènìyàn, ó dẹ̀ wọ́n.",incorrect,single_delete,tone,menyo20k
tone_0039,Ṣé ó dá ọ lójú pé o fẹ́ ṣe àtúnṣe sí ààtò ìṣiṣẹ́ rẹ?,correct,none,tone,menyo20k
tone_0039,Ṣe o da ọ loju pe o fẹ ṣe atunṣe si aato iṣiṣẹ rẹ?,incorrect,strip_all,tone,menyo20k
tone_0039,Ṣé ó dá ọ lòjú pé o fẹ́ ṣe àtúnṣe sí ààtò ìṣiṣẹ́ rẹ?,incorrect,single_flip,tone,menyo20k
tone_0039,Ṣé ó dá ọ lójú pé o fẹ́ ṣe àtúnṣe sí aàtò ìṣiṣẹ́ rẹ?,incorrect,single_delete,tone,menyo20k
tone_0040,A padà síbi ìdèna àkóràn ìyá sí ọmọ.,correct,none,tone,menyo20k
tone_0040,A pada sibi idena akoran iya si ọmọ.,incorrect,strip_all,tone,menyo20k
tone_0040,A padà síbi ìdèna ákóràn ìyá sí ọmọ.,incorrect,single_flip,tone,menyo20k
tone_0040,A padà sibi ìdèna àkóràn ìyá sí ọmọ.,incorrect,single_delete,tone,menyo20k
tone_0041,"Ní báyìí, lónì èyí ò mọ́pọ̀lọ dáni, nítorí wọ́n ń ṣe ìpèse dáadáa gbogbogbò àgbáyé.",correct,none,tone,menyo20k
tone_0041,"Ni bayii, loni eyi o mọpọlọ dani, nitori wọn n ṣe ipese daadaa gbogbogbo agbaye.",incorrect,strip_all,tone,menyo20k
tone_0041,"Ní báyìí, lónì èyí ò mọ́pọ̀lọ dáni, nítorí wọ́n ń ṣe ìpèse dáadàa gbogbogbò àgbáyé.",incorrect,single_flip,tone,menyo20k
tone_0041,"Ní báyìí, lónì èyí ò mọ́pọ̀lọ dáni, nítorí wọ́n ń ṣe ìpèse dáadáa gbogbogbo àgbáyé.",incorrect,single_delete,tone,menyo20k
tone_0042,Ó wá bá àwọn agbègbè méjì tó kábàámọ̀ nínú ìṣẹ̀lẹ̀ náà kẹ́dùn.,correct,none,tone,menyo20k
tone_0042,O wa ba awọn agbegbe meji to kabaamọ ninu iṣẹlẹ naa kẹdun.,incorrect,strip_all,tone,menyo20k
tone_0042,Ó wá bá àwọn agbègbé méjì tó kábàámọ̀ nínú ìṣẹ̀lẹ̀ náà kẹ́dùn.,incorrect,single_flip,tone,menyo20k
tone_0042,Ó wá bá àwọn agbègbè méjì tó kábàámọ̀ nínú ìṣẹ̀lẹ náà kẹ́dùn.,incorrect,single_delete,tone,menyo20k
tone_0043,--- Ó gbóná fẹli-fẹli:Ìjàm̀bá iná ṣẹlẹ̀ nílé-iṣẹ́ ìsirò -owó,correct,none,tone,menyo20k
tone_0043,--- O gbona fẹli-fẹli:Ijamba ina ṣẹlẹ nile-iṣẹ isiro -owo,incorrect,strip_all,tone,menyo20k
tone_0043,--- Ó gbóná fẹli-fẹli:Ìjàm̀bá iná ṣẹlẹ̀ nílé-iṣẹ̀ ìsirò -owó,incorrect,single_flip,tone,menyo20k
tone_0043,--- Ó gbóná fẹli-fẹli:Ijàm̀bá iná ṣẹlẹ̀ nílé-iṣẹ́ ìsirò -owó,incorrect,single_delete,tone,menyo20k
tone_0044,"Pípẹ́ ni yó pẹ̀ẹ́, akólòlò á pe baba.",correct,none,tone,menyo20k
tone_0044,"Pipẹ ni yo pẹẹ, akololo a pe baba.",incorrect,strip_all,tone,menyo20k
tone_0044,"Pípẹ́ ni yò pẹ̀ẹ́, akólòlò á pe baba.",incorrect,single_flip,tone,menyo20k
tone_0044,"Pípẹ́ ni yó pẹ̀ẹ́, akólòlo á pe baba.",incorrect,single_delete,tone,menyo20k
tone_0045,Ti pa yàrá ìkẹ́kọ̀ọ́ rẹ́,correct,none,tone,menyo20k
tone_0045,Ti pa yara ikẹkọọ rẹ,incorrect,strip_all,tone,menyo20k
tone_0045,Ti pa yàrá ìkẹ̀kọ̀ọ́ rẹ́,incorrect,single_flip,tone,menyo20k
tone_0045,Ti pa yàrá ikẹ́kọ̀ọ́ rẹ́,incorrect,single_delete,tone,menyo20k
tone_0046,2.Dídáààbò araà rẹ lóríi ẹ̀rọ-alátagbà,correct,none,tone,menyo20k
tone_0046,2.Didaaabo araa rẹ lorii ẹrọ-alatagba,incorrect,strip_all,tone,menyo20k
tone_0046,2.Dídáààbò araà rẹ lóríi ẹ̀rọ-alátagbá,incorrect,single_flip,tone,menyo20k
tone_0046,2.Dídáààbò araà rẹ lóríi ẹrọ-alátagbà,incorrect,single_delete,tone,menyo20k
tone_0047,"Síbẹ̀, ìfọ̀rọ̀wánilẹ́nuwò tí Dakolo ti fẹ̀sùn kan Fátóyìnbó dá awuyewuye sílẹ̀ lórí ayélukára bí ajere.",correct,none,tone,menyo20k
tone_0047,"Sibẹ, ifọrọwanilẹnuwo ti Dakolo ti fẹsun kan Fatoyinbo da awuyewuye silẹ lori ayelukara bi ajere.",incorrect,strip_all,tone,menyo20k
tone_0047,"Síbẹ̀, ìfọ̀rọ̀wánilẹ́nuwó tí Dakolo ti fẹ̀sùn kan Fátóyìnbó dá awuyewuye sílẹ̀ lórí ayélukára bí ajere.",incorrect,single_flip,tone,menyo20k
tone_0047,"Síbẹ̀, ìfọ̀rọ̀wánilẹ́nuwò tí Dakolo ti fẹ̀sùn kan Fátóyìnbó dá awuyewuye sílẹ̀ lórí ayélukara bí ajere.",incorrect,single_delete,tone,menyo20k
tone_0048,"Ní sùúrù Fẹ́mi, kí ni ìṣòro ẹ?",correct,none,tone,menyo20k
tone_0048,"Ni suuru Fẹmi, ki ni iṣoro ẹ?",incorrect,strip_all,tone,menyo20k
tone_0048,"Ní sùúrù Fẹ́mi, kì ni ìṣòro ẹ?",incorrect,single_flip,tone,menyo20k
tone_0048,"Ni sùúrù Fẹ́mi, kí ni ìṣòro ẹ?",incorrect,single_delete,tone,menyo20k
tone_0049,"Àwọn ohun míràn tún ni aṣọ ìbọ̀wọ́, gíláásì ìbòjú, àwọn ohun ìbùsùn abbl.",correct,none,tone,menyo20k
tone_0049,"Awọn ohun miran tun ni aṣọ ibọwọ, gilaasi iboju, awọn ohun ibusun abbl.",incorrect,strip_all,tone,menyo20k
tone_0049,"Àwọn ohun míràn tún ni aṣọ ìbọ̀wọ́, gìláásì ìbòjú, àwọn ohun ìbùsùn abbl.",incorrect,single_flip,tone,menyo20k
tone_0049,"Àwọn ohun miràn tún ni aṣọ ìbọ̀wọ́, gíláásì ìbòjú, àwọn ohun ìbùsùn abbl.",incorrect,single_delete,tone,menyo20k
tone_0050,"""Orúkọ tí a pe ọtí-líle náà ni """"8 wine 64.""""""",correct,none,tone,menyo20k
tone_0050,"""Orukọ ti a pe ọti-lile naa ni """"8 wine 64.""""""",incorrect,strip_all,tone,menyo20k
tone_0050,"""Orúkọ tí a pe ọtì-líle náà ni """"8 wine 64.""""""",incorrect,single_flip,tone,menyo20k
tone_0050,"""Orúkọ tí a pe ọtí-lile náà ni """"8 wine 64.""""""",incorrect,single_delete,tone,menyo20k
tone_0051,Ṣùgbọ́n tí a bá jáwọ́ mínú àwọn ìfitóniléti tí a ṣàwárí pẹ̀lú ìṣojúlọ́yìn ńkọ́?,correct,none,tone,menyo20k
tone_0051,Ṣugbọn ti a ba jawọ minu awọn ifitonileti ti a ṣawari pẹlu iṣojulọyin nkọ?,incorrect,strip_all,tone,menyo20k
tone_0051,Ṣùgbọ́n tí a bá jáwọ́ mínú áwọn ìfitóniléti tí a ṣàwárí pẹ̀lú ìṣojúlọ́yìn ńkọ́?,incorrect,single_flip,tone,menyo20k
tone_0051,Ṣùgbọ́n ti a bá jáwọ́ mínú àwọn ìfitóniléti tí a ṣàwárí pẹ̀lú ìṣojúlọ́yìn ńkọ́?,incorrect,single_delete,tone,menyo20k
