sentence,source,word_count
Iyùn bí ìwo àgbọ̀nrín tí ó ti pàwọ̀dà .,masakhaner,9
"Àworán láti ọwọ́ọ Matt Kieffer , CC BY - SA 2 . 0 .",masakhaner,14
", gbogbo ojú ló ń wo erékùṣù náà .",masakhaner,9
Kí ni ohun tí ń pàwọ̀dà ní pàtó ?,masakhaner,9
Ìpele ìpàwọ̀dà kejì yóò jẹ́ ìtọ́ka sí ìpàwọ̀dà iyùn kárí ayé àti ikú iyùn .,masakhaner,15
Kí ló fa sábàbí ?,masakhaner,5
Kí ni arapa rẹ̀ ?,masakhaner,5
Ohun tí ó léwu ni ìpàwọ̀dàa iyùn .,masakhaner,8
"Bí ẹjá bá sì tán lómi , iṣẹ́ bọ́ lọ́wọ́ àwọn apẹja nìyẹn .",masakhaner,14
Kí ni a lè ṣe láti dẹ́kun rẹ̀ ?,masakhaner,9
Ó sọ síwájú sí i :,masakhaner,6
Ganase gbà wípé ọ̀ràn náà gba àtúnṣe ní kíákíá .,masakhaner,10
Ìrìn - àjò : Ìpẹ̀kun eré - ìdárayá fún Ọmọ - adúláwọ̀,masakhaner,12
Ìṣèbéèrè fún ìwé ìrìnnà dà bíi ẹbọ fún àwọn òòsà,masakhaner,10
Àtẹ̀jáde ìtúmọ̀ 19 Ògún 2019 13 : 42 GMT,masakhaner,9
Àtúntò àwòrán - an látọwọ́ọ Georgia Popplewell .,masakhaner,8
Ilé - iṣẹ́ UK Nílé pe àìfúni ní ìwé ìrìnnà náà padà .,masakhaner,13
"Ọlọ́finlúà lọ , ó bọ̀ padà sí Nàìjíríà , kò b'ọmọ jẹ́ .",masakhaner,13
Àwọn mìíràn kò rí àǹfààní báyìí .,masakhaner,7
‘O kò ní padà ! ’,masakhaner,6
"Awọn àgbá bọ̀ , inú dídùn l’ó ń mú orí yá .",masakhaner,12
Wọ́n pa ohùn mọ́ mi lẹ́nu !,masakhaner,7
èdè tí ó kù .,masakhaner,5
Ǹjẹ́ òtítọ́ ni wípé ó ṣeéṣe kí Ọmọ - adúláwọ̀ ó máà padà wálé ?,masakhaner,15
Iṣẹ́ ìdóòlà - ẹ̀mí ní oríi omi Erékùsù Canary ní 2006 .,masakhaner,12
Àwòrán láti ọwọ́ọ Noborder Network .,masakhaner,6
Ọ̀gọ̀rọ̀ ló wá láti àwọn Ìlú Gúúsù Aṣálẹ̀ Sahara .,masakhaner,10
"Àwọn arìnrìnàjòó san “ ẹgbẹlẹmùkù owó lọ́wọ́ ẹnìkọ̀ọ̀kan """""""" fún ìrìnàjò láti Cape Verde .",masakhaner,15
Irọ́ tí ó ti ara ẹlẹ́yàmẹyà sú yọ lórí ẹ̀rọ alátagbà lásìkò ìbò,masakhaner,13
Àtẹ̀jáde ìtúmọ̀ 9 Ṣẹẹrẹ 2020 10 : 33 GMT,masakhaner,9
O leè ká apá kejì ìròyìn náà níbí .,masakhaner,9
Èyí fi ojú hàn lásìkò ìbò nígbàtí àwọn olóṣèlú lo ẹlẹ́yàmẹ́lẹ́yá fi polongo ìbò .,masakhaner,15
"Láti ilẹ̀ , ìtàkùrọ̀sọ lórí ayélujára ní Nàìjíríà kò lọ láì sí ìkórìíra .",masakhaner,14
Ó fẹ́ jọ àtúnwáyé ìṣẹ̀lẹ̀ 2015 ṣùgbọ́n pẹ̀lú atakànàngbọ̀n mìíràn .,masakhaner,11
Ìbò àti ìgbàgbọ́ ọ̀rọ̀ orí ẹ̀rọ ayélujára ní Nàìjíríà,masakhaner,9
Ọ̀dọ́ ni ọ̀pọ̀lọpọ̀ àwọn olùdìbò orílẹ̀ - èdèe Nàìjíríà .,masakhaner,10
A ká àwọn ìkíyèsí yìí sílẹ̀ láti orí ayélujára ní àsìkò yìí .,masakhaner,13
Àwòrán 1 : Túwíìtì irọ́ ti Festus Keyamo,masakhaner,8
"Fún àpẹẹrẹ òmíràn , a lo àwòrán kan báyìí lọ́nà tí kò yẹ .",masakhaner,14
Ìjọba PDP ló ń tukọ̀ ètò ní 1999 sí 2015 .,masakhaner,11
Túwíìtì náà jẹ́rìí wípé Lebanon ni àwòrán ọ̀hún ti ṣẹ̀ wá .,masakhaner,12
Àwòrán 3 : Ọ̀rọ̀ ìkórìíra ẹ̀yà tẹ̀gbintẹ̀gbin,masakhaner,7
Bákan náà ni ó mú túwíìtì ìsọkúsọ náà wálẹ̀ ( Àwòrán 3 ) .,masakhaner,14
"Nàìjíríà , Tunisia , Uganda , àti Zimbabwe .",masakhaner,9
Àwọn ọkùnrin méjèèjì sọ wípé Ọlọ́run ló yọ sí àwọn,masakhaner,10
Àtẹ̀jáde ìtúmọ̀ 16 Ṣẹẹrẹ 2020 18 : 10 GMT,masakhaner,9
Allah l'ó pa á láṣẹ láti gbẹ́ ilé Ọlọ́run fún ètò ìgbéyàwó sísàlẹ̀ ilẹ̀ .,masakhaner,15
"Àwòrán láti ọwọ́ọ Amanda Leigh Lichtenstein , a fi àṣẹ lò ó .",masakhaner,13
Ìran náà wá nípasẹ̀ àwòrán ìtọ́nà tí ó rí lójú àwọn àláa rẹ̀ .,masakhaner,14
Ouma gbàgbọ́ wípé òun ń mú májẹ̀mú mìíràn pẹ̀lú Ọlọ́run padà wá sílé ayé .,masakhaner,15
“ Ìpele kejì ń bọ̀ lọ́nà .,masakhaner,7
Èyí ni ìpele àkọ́kọ́ ti májẹ̀mú náà .,masakhaner,8
Ìkejì ń bọ̀ lọ́nà .,masakhaner,5
Òǹlòo Instagram kan kọ :,masakhaner,5
Kò tilẹ̀ béèrè fún ìrànwọ́ fún katakata tàbí owó fún làálàáa rẹ̀ .,masakhaner,13
A kò gbọdọ̀ dájọ́ ẹni yìí .,masakhaner,7
Àwòrán láti ọwọ́ọ Amanda Leigh Lichtenstein .,masakhaner,7
Ilé Ọlọ́run fún ètò ìgbéyàwó Ethiopia,masakhaner,6
"Ní ọ̀gànjọ́ , ó ríran rí wúrà .",masakhaner,8
Àwọn àfẹ́sọ́nà kan ti ṣe ètò ìgbéyàwó níbé .,masakhaner,9
oòrùn ń tàn gbà láti ibi tí ẹnìkan kò mọ̀ .,masakhaner,11
Kíni ìdí irẹ̀ tí Donald Trump ṣe l'ókìkí ní Nàìjíríà ?,masakhaner,11
Trump ní ọ̀pọ̀lọpọ̀ olólùfẹ́ ní gúúsù orílẹ̀ - èdèe Nàìjíríà,masakhaner,10
Àtẹ̀jáde ìtúmọ̀ 17 Ṣẹẹrẹ 2020 13 : 59 GMT,masakhaner,9
Àwọn ọmọ Amẹ́ríkà rí i bí àkàndá ènìyàn .,masakhaner,9
Ìhùwàsíi rẹ̀ kò bá tayé mu .,masakhaner,7
Kì í ṣe ẹni tí wọ́n sọ pé ó jẹ́ .,masakhaner,11
Ìdí mìíràn ni ẹ̀sìn .,masakhaner,5
Àwọn Ọmọ lẹ́yìn - in Krístì nífẹ̀ẹ́ẹ Trump,masakhaner,8
"Cheta Nwanze , Olórí Ìwádìí ní SBM Intelligence sọ fún Ohùn Àgbáyé :",masakhaner,13
"Nàìjíríà ní ìjọba ìbílẹ̀ 774 , tí í ṣe ẹ̀ka aláṣẹ ìjọba ìbílẹ̀ .",masakhaner,14
"Síbẹ̀ , ọ̀pọ̀ ọmọ Nàìjíríà ló fẹ́ràn - an Trump .",masakhaner,11
Twitter di pápá ìròyìn ayédèrú lásìkò Ìdìbò ọdún - un 2019 ní Nàìjíríà,masakhaner,13
Ọ̀rọ̀ Ìkórìíra Ẹ̀yà àti Ayédèrú Ìròyìn tàn ká lórí Twitter,masakhaner,10
Àtẹ̀jáde ìtúmọ̀ 21 Ṣẹẹrẹ 2020 10 : 25 GMT,masakhaner,9
Àtòpọ̀ àwòrán láti ọwọ́ Nwachukwu Egbunike,masakhaner,6
O lè ka apá kìíní níbí .,masakhaner,7
Túwítà di ohun èlò fún ìsọkiri ọ̀rọ̀ ìkórìíra ẹ̀yà àti ọ̀rọ̀ ẹgbẹ́ òṣèlú .,masakhaner,14
“ Àsìkò ìdìbò ọdún 2019 ò yàtọ̀ rárá .,masakhaner,9
Àwọn ọmọ orílẹ̀ - èdèe Nàìjíríà náà fi èròo wọn hàn .,masakhaner,12
Akọ̀ròyìn Abdulbaqi Jari túwíìtì pé :,masakhaner,6
Ìròyìn ayédèrú àti ìṣèlú ní àwọn orílẹ̀ - èdè ilẹ̀ Adúláwọ̀,masakhaner,11
Ìròyìn Ayédèrú tó tako ẹ̀yà,masakhaner,5
Atọ́ka 2 : Àwòrán Túwíìtì kan láti ọwọ́ Nasir El - Rufia,masakhaner,12
Kí ni ohun tí ó ṣẹlẹ̀ gan - an ?,masakhaner,10
Atọ́ka 3 : Àwòrán Túwíìtì kan láti ọwọ́ Jubril A .,masakhaner,11
Nàìjíríà jẹ́ orílẹ̀ - èdè kan tí ọ̀rọ̀ ẹ̀yà ti rinlẹ̀ gan - an .,masakhaner,15
Ìsọkiri láti mú èrò inú àwọn olóṣèlú ṣẹ,masakhaner,8
Atọ́ka 6 : Àwòrán Túwíìtì kan láti ọwọ́ Souljah,masakhaner,9
"kí ó lọ nírọ̀rùn lọ́wọ́ . """"""""",masakhaner,7
oòrùn orílẹ̀ - èdèe Nàìjíríà ní àná ọjọ́ náà .,masakhaner,10
Irọ́ pátápátá ni àwọn ẹ̀sùn Onochie .,masakhaner,7
Onochie jẹ́ ògbóǹtarìgì níbi ká máa ṣe àpínká ìròyìn ayédèrú .,masakhaner,11
Ọ̀rọ̀ Àtakò lórí Ayélujára : ọ̀ràn ní Nàìjíríà,masakhaner,8
Àkójọpọ̀ àwọn ajagun orí Twitter tí wọ́n ń ṣe àpínká irọ́,masakhaner,11
Wọ́n dìídì gbìyànjú láti ṣe àpínká irọ́ bí i pé òótọ́ ni .,masakhaner,13
Àtẹ̀jáde ìtúmọ̀ 31 Ṣẹẹrẹ 2020 9 : 35 GMT,masakhaner,9
""""""""" fún ọdún méjì gbáko , New Times Rwanda jíyìn ìròhìn .",masakhaner,12
Ó sọ̀rọ̀ síwájú sí i :,masakhaner,6
Bákan náà ni Omarah gbóríyìn fún iléeṣẹ́ eré orí ìtàgé Nollywood ti Nàìjíríà .,masakhaner,14
Àtẹ̀jáde ìtúmọ̀ 14 Èrèlé 2020 18 : 32 GMT,masakhaner,9
Ọkùnrin kan gbé ẹ̀rọ - ìgbóhùnsáfẹ́fẹ́ tí máa ń rin ọ̀nà jínjìn dání .,masakhaner,14
"Àwòrán láti ọwọ́ọ Ọmọ Yoòbá , tí a gba àṣẹ láti lò .",masakhaner,13
Rédíò tí ó ń mú ìsọdọ̀kan àti ìgbéga wáyé,masakhaner,9
Àwọn àkópa méjì ló jáwé olúborí .,masakhaner,7
"Àwòrán láti ọwọ́ọ Ọmọ Yoòbá , a gba àṣẹ láti lò ó .",masakhaner,13
Kò sẹ́ni tí kò kópa nínú ayẹyẹ náà .,masakhaner,9
Àwọn sọ̀rọ̀sọ̀rọ̀ tí ó ti fẹ̀yìntì ló ka ìròyìn tí wọ́n sì tọ́kùn ètò .,masakhaner,15
Ǹjẹ́ ìlànà ìṣọwọ́kọ Yorùbá tuntun yóò di lílò lọ́jọ́ iwájú bí ?,masakhaner,12
Àtẹ̀jáde ìtúmọ̀ 10 Ẹrẹ́nà 2020 20 : 36 GMT,masakhaner,9
Olóyè Ògúntósìn ló yànda àwòrán .,masakhaner,6
25 ni gbogbo àwọn àmì wọ̀nyí lápapọ̀ .,masakhaner,8
Kà sí i : Ọ̀rọ̀ àyálò nínú èdè Yorùbá : Bí èdè ṣe yí padà,masakhaner,15
alífábẹ́ẹ̀tì Vai ni Ilẹ̀ - Adúláwọ̀ jẹ́ orísun wọn .,masakhaner,10
Ìṣàyèwò 'alífábẹ́ẹ̀tì tó ń sọ̀rọ̀',masakhaner,5
"Nígbà tí ó délé , òkùnkùn bo iyàrá birimùbirimù .",masakhaner,10
Ó tú gbogbo ilé kí ó tó wá rí i ní kọ̀rọ̀ ilé .,masakhaner,14
"Lálẹ́ ọjọ́ yẹn , ó fi nǹkan àjèjì náà sábẹ́ ìgbèrí sùn .",masakhaner,13
Ó sọ fún Ohùn Àgbáyé :,masakhaner,6
… Mo lálàá wí pé mo lọ sí inú oòrùn .,masakhaner,11
alífábẹ́ẹ̀tì Odùduwà tuntun náà .,masakhaner,5
èwe tí kò s'ówó láti parí i rẹ̀ náà ò gbẹ́yìn .,masakhaner,12
"Síbẹ̀síbẹ̀ , àtìlẹ́yìn kì í pọ̀ jù fún ìpínkárí alífábẹ́ẹ̀tì náà .",masakhaner,12
Ìgbésẹ̀ tí ó mú ìwúrí dání ni alífábẹ́ẹ̀tì Odùduwà náà .,masakhaner,11
Ọ̀rọ̀ àyálò nínú èdè Yorùbá : Bí èdè ṣe yí padà,masakhaner,11
Ṣé àkàrà ni ò ń pè àbí bean cake ?,masakhaner,10
Àtẹ̀jáde ìtúmọ̀ 11 Ẹrẹ́nà 2020 11 : 11 GMT,masakhaner,9
Àjọṣepọ̀ láàárín onírúurú èdè ti wà láti ayébáyé .,masakhaner,9
Ìṣẹ̀lẹ̀ yìí kò yọ ìran Yorùbá sílẹ̀ .,masakhaner,8
Ó tó ìdajì gbólóhùn èdè Gẹ̀ẹ́sì tí a yà lò nínú èdè Yorùbá .,masakhaner,14
"Kí a wo ọ̀rọ̀ bí i """""""" cup """""""" Ó di kó̩ò̩pù .",masakhaner,13
"Àwọn gbólóhùn """""""" àyálò """""""" wọ̀nyí mú èdè Yorùbá fẹjú sí i .",masakhaner,13
"Síbẹ̀ , òtítọ́ farahàn wípé láti ara èdè Yorùbá ni ó ti sú yọ .",masakhaner,15
Ìgbéga ni èyí jẹ́ fún Yor Yorùbá .,masakhaner,8
Ọ̀pọ̀lọpọ̀ ògbufọ̀ tí ẹ̀rọ ṣe ni kò nítumọ̀ .,masakhaner,9
Àtẹ̀jáde ìtúmọ̀ 11 Ẹrẹ́nà 2020 21 : 16 GMT,masakhaner,9
"Àwòránlláti ọwọ́ Ọládiméjì Ajégbilẹ̀ , àṣẹ - àtúnlò láti orí Pexels .",masakhaner,12
"Bákan náà , ló kù díẹ̀ káàtó , kò ṣe déédéé ?",masakhaner,12
"Fún àpẹẹrẹ , gbólóhùn Yorùbá bí i ayaba àti ọbabìnrin ní ìtumọ̀ tó yàtọ̀ .",masakhaner,15
"Ọ̀pọ̀lọpọ̀ ẹ̀rọ ní í máa tú ìmọ̀ gbólóhùn méjèèjì sí """""""" queen """""""" .",masakhaner,14
Èyí sì ti fẹ bí a ti ṣe ń lo àwọn èdè wọ̀nyí lójú .,masakhaner,15
A ṣẹ̀dá àwọn orúkọ yìí ní ìbámu pẹ̀lú iṣẹ́ tí wọ́n ń ṣe .,masakhaner,14
Àtẹ̀jáde ìtúmọ̀ 13 Ẹrẹ́nà 2020 18 : 32 GMT,masakhaner,9
Àwòrán tí kò ní olóhun láti orí Wikipedia .,masakhaner,9
Ìyè ni Ara - jíjẹ àti ẹ̀jẹ̀ mímu .,masakhaner,9
Àmọ́ àwọn aṣojú ìjọba tìkarawọn ń tàpá sí òfin ìdènà ààrùn yìí .,masakhaner,13
Kí ni ìṣòro rẹ̀ ?,masakhaner,5
Gbogbo onígbàgbọ́ yóò wọ ìbomúbẹnu lásìkò tí ìsìn bá ń lọ lọ́wọ́ .,masakhaner,13
Wọn kò ní gba ẹnìkan lọ́wọ́ .,masakhaner,7
Wọn kò ní f'ẹnu ko Àlùfáà ìjọ lọ́wọ́ .,masakhaner,9
"Wọn kò ní fẹnu ko àwọn Ère , àmọ́ wọn ó tẹríba níwájú wọn .",masakhaner,15
Wọn kò ní lo àwọn ìwé àdúrà nígbà ìsìn .,masakhaner,10
Oúnjẹ Àpèjẹ Ifẹ̀ kò ní jẹ́ pínpín lọ́jọ́ Àìkú .,masakhaner,10
Àwọn ìpàdé ẹlẹ́gbẹ́jẹgbẹ́ àti ti àwọn tó ń kọ́ ìsìn Ọlọ́run kò ní wáyé .,masakhaner,15
Ilé - iṣẹ́ Agbóhùnsáfẹ́fẹ́ Ìbílẹ̀ Fagilé Ìfọ̀rọ̀wọ́rọ̀ pẹ̀lú àwọn ajìjàǹgbara LGBT lẹ́yìn ìhalẹ̀mọ́ sí olóòtú,masakhaner,15
Àtẹ̀jáde ìtúmọ̀ 8 Èrèlé 2019 10 : 39 GMT,masakhaner,9
Àwọn ajìjàǹgbara ní Madrid fi ẹ̀hónú hàn lórí ìrúfin ẹ̀tọ́ LGBT ní Russia,masakhaner,13
sọ̀rọ̀ nínú àkọsílẹ̀ Facebook kan :,masakhaner,6
Mò ń fagi lé ètò náà .,masakhaner,7
"Òun náà sì lè kojúu wàhálà , onípè àjèjì náà léríléka .",masakhaner,12
Àwọn ìwọ́de àti ìfẹ̀hónúhàn irú èyí wáyé ní àwọn ìlú mìíràn ní Russia .,masakhaner,14
Jẹ́ kí ìpèe rẹ̀ ta ọ́ jí !,masakhaner,8
WỌ́N WÀ NÍBẸ̀ : NÍNÚ ÀWỌN ỌGBÀ Ẹ̀WỌ̀N ÀTI IBOJÌ - ÒKÚ .,masakhaner,13
# SAVELGBTINRUSSIA Ẹ̀TANÚ ÌBÁLÒPỌ̀ - LÁÀÁRÍN - AKỌ - ÀTI - AKỌ = ÌJỌBA AFIPÁMÚNI,masakhaner,15
